game_id,season,week,gameday,away_team,home_team,home_score,away_score,result,home_win_actual,incumbent_home_win_prob,base_incumbent_prob,predicted_winner,confidence_bucket,model_version,model_date,training_seasons,feature_set,calibration_method,model_holdout_ll,elo_k,elo_hfa,elo_reg,elo_decay,elo_qb_bonus,overlay_gamma,overlay_cap,overlay_gate_active,home_qb_adj,away_qb_adj,caution_qb_change,caution_neutral,caution_early_season,caution_missing_features,caution_model_market_disagreement,market_model_diff,market_prob_diagnostic,market_minus_model_diagnostic,qb_change_flag,game_type,roof,surface,weekday,div_game,log_loss,brier,correct,actual_winner,is_favorite_correct,is_underdog_correct
2019_10_ATL_NO,2019,10,2019-11-10,ATL,NO,9,26,-17,0.0,0.913355319674462,0.9031475020463832,NO,80+,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,22.8,1.5,1,0,0,0,0,-0.074,0.8394,-0.074,1,REG,dome,astroturf,Sunday,1,2.4459,0.8342,0,ATL,0,0
2020_15_PIT_CIN,2020,15,2020-12-21,PIT,CIN,27,17,10,1.0,0.1012536489668279,0.1515037759821359,PIT,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-48.6,45.6,1,0,0,0,0,0.0227,0.1239,0.0227,1,REG,outdoors,grass,Monday,1,2.2901,0.8077,0,CIN,0,0
2019_17_MIA_NE,2019,17,2019-12-29,MIA,NE,24,27,-3,0.0,0.8890183568700146,0.8348276821295291,NE,80+,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,82.6,-43.1,0,0,0,0,0,0.0009,0.8899,0.0009,0,REG,outdoors,grass,Sunday,1,2.1984,0.7904,0,MIA,0,0
2020_13_NYG_SEA,2020,13,2020-12-06,NYG,SEA,12,17,-5,0.0,0.8888591245697622,0.8346051639930101,SEA,80+,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,40.7,-78.6,1,0,0,0,0,-0.0777,0.8111,-0.0777,1,REG,outdoors,fieldturf,Sunday,0,2.197,0.7901,0,NYG,0,0
2019_06_DAL_NYJ,2019,6,2019-10-13,DAL,NYJ,24,22,2,1.0,0.1251891475687145,0.1847010634888658,DAL,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-63.9,39.8,1,0,0,0,0,0.1372,0.2624,0.1372,1,REG,outdoors,fieldturf,Sunday,0,2.0779,0.7653,0,NYJ,0,0
2019_16_ARI_SEA,2019,16,2019-12-22,ARI,SEA,13,27,-14,0.0,0.8738675936006761,0.8138282405002912,SEA,80+,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,45.0,-40.8,0,0,0,0,0,-0.1038,0.7701,-0.1038,0,REG,outdoors,fieldturf,Sunday,1,2.0704,0.7636,0,ARI,0,0
2020_13_WAS_PIT,2020,13,2020-12-07,WAS,PIT,17,23,-6,0.0,0.8658452175893903,0.8519001579130842,PIT,80+,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,49.6,20.0,0,0,0,0,1,-0.1597,0.7062,-0.1597,0,REG,outdoors,grass,Monday,0,2.0088,0.7497,0,WAS,0,0
2019_18_MIN_NO,2019,18,2020-01-05,MIN,NO,20,26,-6,0.0,0.8648085611204858,0.837527994134303,NO,80+,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,22.8,-14.7,1,0,0,0,0,-0.1075,0.7573,-0.1075,1,WC,dome,astroturf,Sunday,0,2.0011,0.7479,0,MIN,0,0
2020_15_NYJ_LA,2020,15,2020-12-20,NYJ,LA,20,23,-3,0.0,0.8639354094388498,0.8639354094388498,LA,80+,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,24.0,-58.3,0,0,0,0,0,0.0447,0.9087,0.0447,0,REG,dome,matrixturf,Sunday,0,1.9946,0.7464,0,NYJ,0,0
2020_14_NO_PHI,2020,14,2020-12-13,NO,PHI,24,21,3,1.0,0.1430337432649691,0.1685765146955751,NO,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-20.9,12.9,1,0,0,0,0,0.1097,0.2527,0.1097,1,REG,outdoors,grass,Sunday,0,1.9447,0.7344,0,PHI,0,0
