subgroup,n,accuracy,log_loss,brier,mean_confidence
QB change (either team),95,0.6421,0.6656,0.2314,0.5565
No QB change,429,0.655,0.6197,0.2149,0.565
Home QB change,95,0.6421,0.6656,0.2314,0.5565
Strong favorite (prob >= 0.65),192,0.7031,0.6158,0.2105,0.7548
Near toss-up (0.45-0.55),73,0.5068,0.6872,0.2471,0.4987
Home favorite,335,0.6299,0.6488,0.2273,0.6818
Away favorite (underdog),189,0.6931,0.5912,0.2012,0.3538
Game type: REG,502,0.6554,0.6248,0.2165,0.5592
Game type: WC,10,0.4,0.8093,0.2945,0.6415
Game type: DIV,8,0.75,0.5935,0.2023,0.6909
Game type: CON,4,0.75,0.6442,0.2258,0.6437
Roof: outdoors,369,0.6531,0.6228,0.216,0.562
Roof: dome,75,0.7467,0.6163,0.2076,0.5784
Roof: closed,75,0.5467,0.6735,0.2412,0.5636
Weekday: Sunday,437,0.6499,0.6299,0.2188,0.5623
Weekday: Monday,35,0.6857,0.6141,0.2066,0.53
Weekday: Thursday,31,0.5806,0.6638,0.2383,0.571
Weekday: Saturday,17,0.7059,0.6133,0.2116,0.6089
Weekday: Friday,1,,,,
Divisional game,191,0.6545,0.6219,0.2142,0.5661
Non-divisional game,333,0.6517,0.6315,0.22,0.562
Early season (W1-4),124,0.6774,0.6082,0.2103,0.567
Mid season (W5-12),222,0.6532,0.6123,0.2119,0.5601
Late season (W13-18),166,0.6265,0.6651,0.2321,0.5572
Postseason (W19+),12,0.75,0.6104,0.2101,0.6752
Confidence: 50-55,35,0.4286,0.7072,0.257,0.5253
Confidence: 55-60,52,0.5385,0.6993,0.2529,0.579
Confidence: 60-65,56,0.5893,0.6784,0.2426,0.6244
Confidence: 65-70,63,0.6508,0.6504,0.2288,0.6753
Confidence: 70-80,73,0.6712,0.6543,0.2289,0.7492
Confidence: 80+,56,0.8036,0.5268,0.1659,0.8516
