team,games,accuracy,log_loss,brier,avg_predicted_win_prob,actual_win_rate,calibration_gap,is_overestimated,is_underestimated
ARI,31,0.5806,0.7164,0.2559,0.407,0.4194,-0.0124,False,False
ATL,32,0.5312,0.726,0.2592,0.4121,0.3438,0.0683,True,False
BAL,35,0.6857,0.5371,0.1834,0.6517,0.7429,-0.0912,False,True
BUF,35,0.8,0.5264,0.1733,0.5819,0.6857,-0.1039,False,True
CAR,31,0.5806,0.6053,0.2116,0.4098,0.2903,0.1194,True,False
CHI,32,0.7188,0.5733,0.1949,0.537,0.5,0.037,False,False
CIN,30,0.7667,0.5975,0.2,0.2987,0.2,0.0987,True,False
CLE,34,0.6176,0.6387,0.2246,0.5123,0.5294,-0.0171,False,False
DAL,32,0.6875,0.6425,0.2231,0.5415,0.4375,0.104,True,False
DEN,32,0.5625,0.6189,0.2156,0.3912,0.375,0.0162,False,False
DET,31,0.7419,0.5625,0.1898,0.3726,0.2581,0.1145,True,False
GB,36,0.6667,0.5599,0.1909,0.637,0.7778,-0.1407,False,True
HOU,33,0.6061,0.6379,0.222,0.4977,0.4242,0.0734,True,False
IND,33,0.6061,0.6662,0.2373,0.5122,0.5455,-0.0332,False,False
JAX,31,0.7419,0.4727,0.1533,0.3499,0.2258,0.1241,True,False
KC,35,0.8,0.5497,0.1827,0.6724,0.8286,-0.1562,False,True
LA,33,0.6667,0.6895,0.2428,0.5805,0.5758,0.0048,False,False
LAC,31,0.5161,0.7077,0.2578,0.4643,0.3871,0.0772,True,False
LV,16,0.5625,0.747,0.2684,0.4714,0.5,-0.0286,False,False
MIA,32,0.6875,0.6168,0.2119,0.4,0.4688,-0.0688,False,True
MIN,34,0.5882,0.678,0.238,0.5275,0.5294,-0.0019,False,False
NE,33,0.7576,0.5425,0.1802,0.6287,0.5758,0.053,True,False
NO,35,0.7429,0.6294,0.2086,0.6732,0.7429,-0.0697,False,True
NYG,32,0.6875,0.5719,0.1923,0.334,0.3125,0.0215,False,False
NYJ,32,0.6875,0.627,0.2154,0.329,0.2812,0.0477,False,False
OAK,15,0.6,0.6265,0.218,0.4242,0.4,0.0242,False,False
PHI,32,0.6562,0.6771,0.2396,0.5178,0.4062,0.1116,True,False
PIT,33,0.6364,0.6566,0.2264,0.5957,0.6061,-0.0104,False,False
SEA,34,0.6765,0.6713,0.2316,0.6415,0.6765,-0.0349,False,False
SF,31,0.6452,0.7296,0.2627,0.5514,0.6774,-0.126,False,True
TB,34,0.6176,0.6372,0.2234,0.5008,0.6176,-0.1168,False,True
TEN,36,0.4167,0.7398,0.271,0.5507,0.6111,-0.0604,False,True
WAS,32,0.625,0.6143,0.2144,0.3442,0.2812,0.063,True,False
