season,week,games,accuracy,log_loss,brier,avg_confidence,favorite_accuracy,worst_game_log_loss,best_game_log_loss
-1,1,31,0.7097,0.5899,0.1988,0.5705,0.6667,1.6572,0.2739
-1,2,32,0.7812,0.5313,0.176,0.5223,0.8571,1.3771,0.119
-1,3,31,0.6452,0.6259,0.2206,0.6089,0.5833,1.4184,0.0509
-1,4,30,0.5667,0.6908,0.2481,0.5677,0.4286,1.7465,0.1396
-1,5,28,0.6429,0.6416,0.2242,0.63,0.6,1.9425,0.0972
-1,6,27,0.5185,0.7209,0.2595,0.5601,0.5294,2.0779,0.1407
-1,7,28,0.75,0.5743,0.1962,0.4844,0.6667,1.119,0.1321
-1,8,28,0.7143,0.5864,0.2011,0.6123,0.7143,1.6537,0.1365
-1,9,27,0.7407,0.5409,0.1813,0.5043,0.8,1.0246,0.128
-1,10,27,0.4444,0.7094,0.2538,0.5805,0.625,2.4459,0.1115
-1,11,27,0.6296,0.6226,0.216,0.5486,0.6875,1.8208,0.1395
-1,12,30,0.7667,0.5143,0.1684,0.5592,0.7647,1.4357,0.1386
-1,13,30,0.5667,0.7133,0.2525,0.5516,0.5,2.197,0.1034
-1,14,31,0.7097,0.6244,0.2151,0.528,0.7059,1.9447,0.1839
-1,15,32,0.6562,0.6702,0.2327,0.547,0.6111,2.2901,0.0683
-1,16,32,0.6562,0.6815,0.2398,0.5746,0.6364,2.0704,0.0892
-1,17,31,0.6129,0.5907,0.2009,0.5573,0.55,2.1984,0.1279
-1,18,10,0.4,0.8093,0.2945,0.6415,0.3333,2.0011,0.217
-1,19,8,0.75,0.5935,0.2023,0.6909,0.75,1.3319,0.19
-1,20,4,0.75,0.6442,0.2258,0.6437,0.75,1.1657,0.3114
