game_id,season,week,gameday,away_team,home_team,home_score,away_score,result,home_win_actual,incumbent_home_win_prob,base_incumbent_prob,predicted_winner,confidence_bucket,model_version,model_date,training_seasons,feature_set,calibration_method,model_holdout_ll,elo_k,elo_hfa,elo_reg,elo_decay,elo_qb_bonus,overlay_gamma,overlay_cap,overlay_gate_active,home_qb_adj,away_qb_adj,caution_qb_change,caution_neutral,caution_early_season,caution_missing_features,caution_model_market_disagreement,market_model_diff,market_prob_diagnostic,market_minus_model_diagnostic,qb_change_flag,game_type,roof,surface,weekday,div_game,log_loss,brier,correct,actual_winner,is_favorite_correct,is_underdog_correct
2019_10_ATL_NO,2019,10,2019-11-10,ATL,NO,9,26,-17,0.0,0.913355319674462,0.9031475020463832,NO,80+,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,22.8,1.5,1,0,0,0,0,-0.074,0.8394,-0.074,1,REG,dome,astroturf,Sunday,1,2.4459,0.8342,0,ATL,0,0
2019_17_MIA_NE,2019,17,2019-12-29,MIA,NE,24,27,-3,0.0,0.8890183568700146,0.8348276821295291,NE,80+,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,82.6,-43.1,0,0,0,0,0,0.0009,0.8899,0.0009,0,REG,outdoors,grass,Sunday,1,2.1984,0.7904,0,MIA,0,0
2019_06_DAL_NYJ,2019,6,2019-10-13,DAL,NYJ,24,22,2,1.0,0.1251891475687145,0.1847010634888658,DAL,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-63.9,39.8,1,0,0,0,0,0.1372,0.2624,0.1372,1,REG,outdoors,fieldturf,Sunday,0,2.0779,0.7653,0,NYJ,0,0
2019_16_ARI_SEA,2019,16,2019-12-22,ARI,SEA,13,27,-14,0.0,0.8738675936006761,0.8138282405002912,SEA,80+,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,45.0,-40.8,0,0,0,0,0,-0.1038,0.7701,-0.1038,0,REG,outdoors,fieldturf,Sunday,1,2.0704,0.7636,0,ARI,0,0
2019_18_MIN_NO,2019,18,2020-01-05,MIN,NO,20,26,-6,0.0,0.8648085611204858,0.837527994134303,NO,80+,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,22.8,-14.7,1,0,0,0,0,-0.1075,0.7573,-0.1075,1,WC,dome,astroturf,Sunday,0,2.0011,0.7479,0,MIN,0,0
2019_04_TB_LA,2019,4,2019-09-29,TB,LA,40,55,-15,0.0,0.825624750178962,0.825624750178962,LA,80+,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,41.0,-43.4,0,0,1,0,0,-0.0255,0.8001,-0.0255,0,REG,outdoors,grass,Sunday,0,1.7465,0.6817,0,TB,0,0
2019_14_DEN_HOU,2019,14,2019-12-08,DEN,HOU,24,38,-14,0.0,0.781508287050595,0.7405490739726395,HOU,70-80,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,42.6,0.8,0,0,0,0,0,-0.0098,0.7717,-0.0098,0,REG,closed,grass,Sunday,0,1.521,0.6108,0,DEN,0,0
2019_05_DEN_LAC,2019,5,2019-10-06,DEN,LAC,13,20,-7,0.0,0.7747837137442736,0.786221422558744,LAC,70-80,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-3.8,7.8,0,0,0,0,0,-0.1002,0.6746,-0.1002,0,REG,outdoors,grass,Sunday,1,1.4907,0.6003,0,DEN,0,0
2019_04_CLE_BAL,2019,4,2019-09-29,CLE,BAL,25,40,-15,0.0,0.7747487240399427,0.745383665616422,BAL,70-80,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,33.1,5.1,0,0,1,0,0,-0.031,0.7437,-0.031,0,REG,outdoors,grass,Sunday,1,1.4905,0.6002,0,CLE,0,0
2019_15_ATL_SF,2019,15,2019-12-15,ATL,SF,22,29,-7,0.0,0.7710220736541173,0.7710220736541173,SF,70-80,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,108.4,4.3,0,0,0,0,0,0.0253,0.7963,0.0253,0,REG,outdoors,grass,Sunday,0,1.4741,0.5945,0,ATL,0,0
2019_04_OAK_IND,2019,4,2019-09-29,OAK,IND,24,31,-7,0.0,0.752551329557463,0.752551329557463,IND,70-80,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,-69.5,-29.2,0,0,1,0,0,-0.0643,0.6883,-0.0643,0,REG,closed,fieldturf,Sunday,0,1.3966,0.5663,0,OAK,0,0
2019_06_PIT_LAC,2019,6,2019-10-13,PIT,LAC,17,24,-7,0.0,0.7513089308248595,0.7348281479283075,LAC,70-80,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-5.9,-20.9,1,0,0,0,0,-0.0552,0.6961,-0.0552,1,REG,outdoors,grass,Sunday,0,1.3915,0.5645,0,PIT,0,0
2019_02_IND_TEN,2019,2,2019-09-15,IND,TEN,17,19,-2,0.0,0.747687844785875,0.6986954121824884,TEN,70-80,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,2.6,-92.9,0,0,1,0,0,-0.123,0.6247,-0.123,0,REG,outdoors,grass,Sunday,1,1.3771,0.559,0,IND,0,0
2019_19_TEN_BAL,2019,19,2020-01-11,TEN,BAL,12,28,-16,0.0,0.7360307183561662,0.6794905335830214,BAL,70-80,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,85.1,-7.6,1,0,0,0,0,0.0537,0.7897,0.0537,1,DIV,outdoors,grass,Saturday,0,1.3319,0.5417,0,TEN,0,0
2019_18_TEN_NE,2019,18,2020-01-04,TEN,NE,13,20,-7,0.0,0.7324507372135611,0.6710498332089615,NE,70-80,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,80.6,-11.1,0,0,0,0,0,-0.0684,0.664,-0.0684,0,WC,outdoors,grass,Saturday,0,1.3185,0.5365,0,TEN,0,0
2019_13_NYJ_CIN,2019,13,2019-12-01,NYJ,CIN,22,6,16,1.0,0.2726192360764868,0.2567144762331625,NYJ,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-17.6,-31.8,1,0,0,0,1,0.1895,0.4621,0.1895,1,REG,outdoors,grass,Sunday,0,1.2997,0.5291,0,CIN,0,0
2019_03_NO_SEA,2019,3,2019-09-22,NO,SEA,27,33,-6,0.0,0.726933110063371,0.6834305598593852,SEA,70-80,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,41.1,3.6,1,0,1,0,0,-0.0527,0.6743,-0.0527,1,REG,outdoors,fieldturf,Sunday,0,1.298,0.5284,0,NO,0,0
2019_16_NYG_WAS,2019,16,2019-12-22,NYG,WAS,35,41,-6,0.0,0.7243373299378968,0.7157509491729875,WAS,70-80,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-32.6,-74.8,1,0,0,0,1,-0.2406,0.4838,-0.2406,1,REG,outdoors,grass,Sunday,1,1.2886,0.5247,0,NYG,0,0
2019_10_MIA_IND,2019,10,2019-11-10,MIA,IND,12,16,-4,0.0,0.7243182790857475,0.7133833127464546,IND,70-80,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-30.6,-43.9,1,0,0,0,0,0.0779,0.8022,0.0779,1,REG,closed,fieldturf,Sunday,0,1.2885,0.5246,0,MIA,0,0
2019_13_WAS_CAR,2019,13,2019-12-01,WAS,CAR,21,29,-8,0.0,0.7205623768653995,0.6599078586889182,CAR,70-80,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,17.6,-31.8,0,0,0,0,0,0.0821,0.8026,0.0821,0,REG,outdoors,grass,Sunday,0,1.275,0.5192,0,WAS,0,0
