team,games,accuracy,log_loss,brier,avg_predicted_win_prob,actual_win_rate,calibration_gap,is_overestimated,is_underestimated
ARI,15,0.5333,0.6387,0.2215,0.301,0.3333,-0.0323,False,False
ATL,16,0.5,0.8234,0.2955,0.4164,0.4375,-0.0211,False,False
BAL,17,0.7059,0.5699,0.1955,0.6529,0.8235,-0.1706,False,True
BUF,17,0.6471,0.5891,0.2042,0.549,0.5882,-0.0392,False,False
CAR,15,0.6667,0.6274,0.2201,0.4389,0.2667,0.1723,True,False
CHI,15,0.8,0.549,0.1811,0.559,0.5333,0.0257,False,False
CIN,15,0.8,0.4958,0.1614,0.3111,0.1333,0.1778,True,False
CLE,16,0.5625,0.6659,0.2378,0.4686,0.375,0.0936,True,False
DAL,16,0.6875,0.6333,0.218,0.6208,0.5,0.1208,True,False
DEN,16,0.5625,0.6421,0.2239,0.388,0.4375,-0.0495,False,False
DET,15,0.8,0.5171,0.1694,0.3734,0.2,0.1734,True,False
GB,18,0.6667,0.5942,0.205,0.576,0.7778,-0.2018,False,True
HOU,17,0.5294,0.6898,0.2475,0.5174,0.5882,-0.0708,False,True
IND,16,0.5625,0.736,0.2671,0.5186,0.4375,0.0811,True,False
JAX,15,0.6667,0.5714,0.1934,0.4096,0.4,0.0096,False,False
KC,17,0.7647,0.5886,0.201,0.6187,0.7647,-0.146,False,True
LA,15,0.6667,0.6596,0.2293,0.5944,0.5333,0.0611,True,False
LAC,15,0.3333,0.8253,0.3124,0.5823,0.3333,0.249,True,False
MIA,16,0.6875,0.6338,0.2174,0.3305,0.3125,0.018,False,False
MIN,18,0.6667,0.6451,0.2222,0.5333,0.6111,-0.0778,False,True
NE,17,0.7059,0.5525,0.186,0.7571,0.7059,0.0512,True,False
NO,17,0.7647,0.6959,0.2316,0.681,0.7647,-0.0837,False,True
NYG,16,0.625,0.5522,0.187,0.3559,0.25,0.1059,True,False
NYJ,16,0.5625,0.6821,0.2433,0.3478,0.4375,-0.0897,False,True
OAK,15,0.6,0.6265,0.218,0.4242,0.4,0.0242,False,False
PHI,17,0.6471,0.6486,0.2311,0.5857,0.5294,0.0563,True,False
PIT,16,0.5625,0.6474,0.2286,0.5249,0.5,0.0249,False,False
SEA,18,0.6111,0.6997,0.2472,0.624,0.6667,-0.0427,False,False
SF,18,0.7222,0.6051,0.2087,0.5931,0.8333,-0.2402,False,True
TB,15,0.4667,0.7494,0.2735,0.4078,0.4667,-0.0589,False,True
TEN,19,0.3158,0.791,0.2952,0.4915,0.5789,-0.0874,False,True
WAS,16,0.6875,0.524,0.1772,0.3165,0.1875,0.129,True,False
