season,week,games,accuracy,log_loss,brier,avg_confidence,favorite_accuracy,worst_game_log_loss,best_game_log_loss
2022,1,15,0.5333,0.7075,0.2562,0.5117,0.4286,1.1979,0.4515
2022,2,16,0.625,0.6892,0.248,0.5512,0.7273,1.1506,0.3549
2022,3,16,0.5625,0.7255,0.265,0.5109,0.5556,1.1081,0.444
2022,4,15,0.4667,0.6809,0.2415,0.5433,0.5,1.6817,0.2015
2022,5,15,0.6667,0.5831,0.199,0.5486,0.6667,1.0453,0.1438
2022,6,14,0.5714,0.6871,0.2493,0.5509,0.625,1.1112,0.1402
2022,7,14,0.6429,0.6885,0.2464,0.518,0.75,1.3185,0.3251
2022,8,14,0.5714,0.6357,0.2239,0.5543,0.6,1.1479,0.3139
2022,9,13,0.6154,0.6606,0.2346,0.4417,0.75,1.1987,0.2498
2022,10,13,0.4615,0.7977,0.2978,0.6149,0.5455,1.4362,0.2248
2022,11,12,0.75,0.5776,0.1941,0.5128,0.5714,1.1312,0.3284
2022,12,16,0.6875,0.5616,0.1931,0.5985,0.8,1.205,0.0972
2022,13,14,0.7857,0.5373,0.1752,0.5509,0.875,0.834,0.2765
2022,14,13,0.5385,0.6763,0.2469,0.5496,0.5714,1.2209,0.0659
2022,15,16,0.75,0.5869,0.2015,0.4772,0.8571,1.2775,0.1792
2022,16,16,0.6875,0.5184,0.1694,0.5477,0.6364,1.0883,0.1899
2022,17,15,0.7333,0.5139,0.166,0.5844,0.7273,1.3742,0.1951
2022,18,16,0.6875,0.5704,0.1954,0.5738,0.75,1.383,0.143
2022,19,6,0.8333,0.5884,0.1917,0.6914,0.8,1.8619,0.13
2022,20,4,0.75,0.5013,0.1591,0.6561,0.75,0.8574,0.315
2022,21,2,0.5,0.6651,0.2361,0.5153,1.0,0.73,0.6002
