game_id,season,week,gameday,away_team,home_team,home_score,away_score,result,home_win_actual,incumbent_home_win_prob,predicted_winner,confidence_bucket,model_version,feature_set,calibration_method,caution_qb_change,caution_neutral,caution_early_season,caution_missing_features,caution_model_market_disagreement,market_model_diff,market_prob_diagnostic,market_minus_model_diagnostic,qb_change_flag,game_type,roof,surface,weekday,div_game,log_loss,brier,correct,actual_winner,is_favorite_correct,is_underdog_correct
2023_03_IND_BAL,2023,3,2023-09-24,IND,BAL,19,22,-3,0.0,0.8605735819342436,BAL,80+,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,1,0,0,-0.1006,0.76,-0.1006,1,REG,outdoors,grass,Sunday,0,1.9702,0.7406,0,IND,0,0
2023_18_LA_SF,2023,18,2024-01-07,LA,SF,20,21,-1,0.0,0.8223170769891153,SF,80+,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,-0.1418,0.6806,-0.1418,1,REG,outdoors,grass,Sunday,1,1.7278,0.6762,0,LA,0,0
2023_08_KC_DEN,2023,8,2023-10-29,KC,DEN,24,9,15,1.0,0.204091941057356,KC,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.055,0.2591,0.055,0,REG,outdoors,grass,Sunday,1,1.5892,0.6335,0,DEN,0,0
2023_17_ARI_PHI,2023,17,2023-12-31,ARI,PHI,31,35,-4,0.0,0.7932868135360243,PHI,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0532,0.8465,0.0532,0,REG,outdoors,grass,Sunday,0,1.5764,0.6293,0,ARI,0,0
2023_13_ARI_PIT,2023,13,2023-12-03,ARI,PIT,10,24,-14,0.0,0.7834743297493092,PIT,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0739,0.7095,-0.0739,0,REG,outdoors,grass,Sunday,0,1.53,0.6138,0,ARI,0,0
2023_14_TEN_MIA,2023,14,2023-12-11,TEN,MIA,27,28,-1,0.0,0.7811171735908983,MIA,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0866,0.8677,0.0866,0,REG,outdoors,grass,Monday,0,1.5192,0.6101,0,TEN,0,0
2023_07_BUF_NE,2023,7,2023-10-22,BUF,NE,29,25,4,1.0,0.2336029726989351,BUF,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0005,0.2341,0.0005,0,REG,outdoors,fieldturf,Sunday,1,1.4541,0.5874,0,NE,0,0
2023_10_HOU_CIN,2023,10,2023-11-12,HOU,CIN,27,30,-3,0.0,0.7556196841854509,CIN,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0702,0.6854,-0.0702,0,REG,outdoors,fieldturf,Sunday,0,1.409,0.571,0,HOU,0,0
2023_06_SF_CLE,2023,6,2023-10-15,SF,CLE,19,17,2,1.0,0.2445801965939192,SF,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,-0.0359,0.2086,-0.0359,1,REG,outdoors,grass,Sunday,0,1.4082,0.5707,0,CLE,0,0
2023_06_PHI_NYJ,2023,6,2023-10-15,PHI,NYJ,20,14,6,1.0,0.2471894971495152,PHI,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0307,0.2779,0.0307,0,REG,outdoors,fieldturf,Sunday,0,1.3976,0.5667,0,NYJ,0,0
2023_12_CHI_MIN,2023,12,2023-11-27,CHI,MIN,10,12,-2,0.0,0.752431727742451,MIN,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,1,-0.1528,0.5996,-0.1528,0,REG,dome,sportturf,Monday,1,1.3961,0.5662,0,CHI,0,0
2023_03_DAL_ARI,2023,3,2023-09-24,DAL,ARI,28,16,12,1.0,0.2532738054822592,DAL,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,1,0,0,-0.0849,0.1684,-0.0849,0,REG,open,grass,Sunday,0,1.3733,0.5576,0,ARI,0,0
2023_15_PHI_SEA,2023,15,2023-12-18,PHI,SEA,20,17,3,1.0,0.2675887307655288,PHI,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0574,0.325,0.0574,0,REG,outdoors,fieldturf,Monday,0,1.3183,0.5364,0,SEA,0,0
2023_11_SEA_LA,2023,11,2023-11-19,SEA,LA,17,16,1,1.0,0.2755311089959382,SEA,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,1,0.2759,0.5514,0.2759,1,REG,dome,matrixturf,Sunday,1,1.2891,0.5249,0,LA,0,0
2023_01_BUF_NYJ,2023,1,2023-09-11,BUF,NYJ,22,16,6,1.0,0.2756560917425563,BUF,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,1,0,1,0.1729,0.4486,0.1729,0,REG,outdoors,,Monday,1,1.2886,0.5247,0,NYJ,0,0
2023_12_GB_DET,2023,12,2023-11-23,GB,DET,22,29,-7,0.0,0.7237893697043354,DET,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.053,0.7768,0.053,0,REG,dome,fieldturf,Thursday,1,1.2866,0.5239,0,GB,0,0
