subgroup,n,accuracy,log_loss,brier,mean_confidence
QB change (either team),58,0.6552,0.6312,0.2223,0.6071
No QB change,221,0.6516,0.6582,0.2323,0.5292
Home QB change,58,0.6552,0.6312,0.2223,0.6071
Strong favorite (prob >= 0.65),82,0.7317,0.5743,0.1941,0.7338
Near toss-up (0.45-0.55),69,0.6232,0.6819,0.2444,0.499
Home favorite,169,0.6805,0.6205,0.2156,0.6501
Away favorite (underdog),110,0.6091,0.7018,0.2527,0.3844
Game type: REG,267,0.6517,0.6543,0.231,0.5419
Game type: WC,6,0.6667,0.5827,0.1986,0.6367
Game type: DIV,4,0.75,0.6034,0.2062,0.6183
Game type: CON,2,0.5,0.7344,0.2701,0.5875
Roof: outdoors,183,0.612,0.6788,0.2418,0.5503
Roof: dome,52,0.8077,0.5781,0.196,0.5565
Roof: closed,33,0.6667,0.5974,0.2057,0.5187
Weekday: Sunday,224,0.6741,0.6383,0.2235,0.5379
Weekday: Monday,23,0.3913,0.8508,0.3227,0.5419
Weekday: Thursday,19,0.6842,0.6069,0.2095,0.6453
Weekday: Saturday,12,0.6667,0.6378,0.2236,0.5545
Weekday: Friday,1,,,,
Divisional game,96,0.6667,0.6533,0.2313,0.5454
Non-divisional game,183,0.6448,0.6522,0.2296,0.5454
Early season (W1-4),63,0.6984,0.6387,0.2228,0.54
Mid season (W5-12),112,0.6339,0.6386,0.2243,0.5441
Late season (W13-18),92,0.6413,0.6839,0.2446,0.5405
Postseason (W19+),12,0.6667,0.6149,0.2131,0.6224
Confidence: 50-55,35,0.6571,0.6772,0.242,0.5238
Confidence: 55-60,27,0.5185,0.7083,0.2574,0.577
Confidence: 60-65,25,0.72,0.5981,0.2037,0.6316
Confidence: 65-70,33,0.7576,0.5679,0.1895,0.6734
Confidence: 70-80,34,0.6471,0.6631,0.2337,0.7413
Confidence: 80+,15,0.8667,0.387,0.1146,0.8497
