game_id,season,week,gameday,away_team,home_team,home_score,away_score,home_win_actual,incumbent_home_win_prob,predicted_winner,confidence_bucket,qb_source
2025_01_DAL_PHI,2025,1,2025-09-04,DAL,PHI,24,20,1.0,0.7632,PHI,70-80,oracle
2025_01_TB_ATL,2025,1,2025-09-07,TB,ATL,20,23,0.0,0.4565,TB,50-55,oracle
2025_01_CIN_CLE,2025,1,2025-09-07,CIN,CLE,16,17,0.0,0.3523,CIN,50-55,oracle
2025_01_MIA_IND,2025,1,2025-09-07,MIA,IND,33,8,1.0,0.5195,IND,50-55,oracle
2025_01_CAR_JAX,2025,1,2025-09-07,CAR,JAX,26,10,1.0,0.5284,JAX,50-55,oracle
2025_01_LV_NE,2025,1,2025-09-07,LV,NE,13,20,0.0,0.5193,NE,50-55,oracle
2025_01_ARI_NO,2025,1,2025-09-07,ARI,NO,13,20,0.0,0.4667,ARI,50-55,oracle
2025_01_PIT_NYJ,2025,1,2025-09-07,PIT,NYJ,32,34,0.0,0.4361,PIT,50-55,oracle
2025_01_NYG_WAS,2025,1,2025-09-07,NYG,WAS,21,6,1.0,0.7459,WAS,70-80,oracle
2025_01_TEN_DEN,2025,1,2025-09-07,TEN,DEN,20,12,1.0,0.7162,DEN,70-80,oracle
2025_01_SF_SEA,2025,1,2025-09-07,SF,SEA,13,17,0.0,0.642,SEA,60-65,oracle
2025_01_DET_GB,2025,1,2025-09-07,DET,GB,27,13,1.0,0.3656,DET,50-55,oracle
2025_01_HOU_LA,2025,1,2025-09-07,HOU,LA,14,9,1.0,0.5708,LA,55-60,oracle
2025_01_BAL_BUF,2025,1,2025-09-07,BAL,BUF,41,40,1.0,0.5962,BUF,55-60,oracle
2025_01_MIN_CHI,2025,1,2025-09-08,MIN,CHI,24,27,0.0,0.3309,MIN,50-55,oracle
2025_02_WAS_GB,2025,2,2025-09-11,WAS,GB,27,18,1.0,0.5419,GB,50-55,oracle
2025_02_CLE_BAL,2025,2,2025-09-14,CLE,BAL,41,17,1.0,0.7412,BAL,70-80,oracle
2025_02_JAX_CIN,2025,2,2025-09-14,JAX,CIN,31,27,1.0,0.7036,CIN,70-80,oracle
2025_02_NYG_DAL,2025,2,2025-09-14,NYG,DAL,40,37,1.0,0.6511,DAL,65-70,oracle
2025_02_CHI_DET,2025,2,2025-09-14,CHI,DET,52,21,1.0,0.7529,DET,70-80,oracle
2025_02_NE_MIA,2025,2,2025-09-14,NE,MIA,27,33,0.0,0.6049,MIA,60-65,oracle
2025_02_SF_NO,2025,2,2025-09-14,SF,NO,21,26,0.0,0.6044,NO,60-65,oracle
2025_02_BUF_NYJ,2025,2,2025-09-14,BUF,NYJ,10,30,0.0,0.2415,BUF,50-55,oracle
2025_02_SEA_PIT,2025,2,2025-09-14,SEA,PIT,17,31,0.0,0.5644,PIT,55-60,oracle
2025_02_LA_TEN,2025,2,2025-09-14,LA,TEN,19,33,0.0,0.2597,LA,50-55,oracle
2025_02_CAR_ARI,2025,2,2025-09-14,CAR,ARI,27,22,1.0,0.665,ARI,65-70,oracle
2025_02_DEN_IND,2025,2,2025-09-14,DEN,IND,29,28,1.0,0.5497,IND,50-55,oracle
